year,real_stocks,real_bonds,real_cash
1871,0.139054,0.035670,0.000000
1872,0.087812,0.015562,0.000000
1873,0.020343,0.114757,0.000000
1874,0.125008,0.167869,0.000000
1875,0.118239,0.156718,0.000000
1876,-0.149164,0.048715,0.000000
1877,0.169730,0.249740,0.000000
1878,0.296151,0.174942,0.000000
1879,0.237992,-0.122470,0.000000
1880,0.343652,0.131732,0.000000
1881,-0.071934,-0.033919,0.000000
1882,0.055872,0.055723,0.000000
1883,0.023113,0.123317,0.000000
1884,-0.023055,0.165093,0.000000
1885,0.345351,0.085566,0.000000
1886,0.119400,0.022025,0.000000
1887,-0.051459,-0.022886,0.000000
1888,0.082091,0.105680,0.000000
1889,0.124178,0.089386,0.000000
1890,-0.084472,-0.006285,0.000000
1891,0.266030,0.105865,0.000000
1892,-0.015189,-0.049549,0.000000
1893,-0.063908,0.201434,0.000000
1894,0.080576,0.103346,0.000000
1895,0.034592,0.009176,0.000000
1896,0.062553,0.084049,0.000000
1897,0.169340,0.008973,0.000000
1898,0.275203,0.040035,0.000000
1899,-0.113095,-0.121220,0.000000
1900,0.239383,0.061699,0.000000
1901,0.165856,0.000141,0.000000
1902,-0.012315,-0.067469,0.000000
1903,-0.132752,0.072462,0.000000
1904,0.291338,0.004911,0.000000
1905,0.213055,0.039461,0.000000
1906,-0.036322,-0.028196,0.000000
1907,-0.225170,0.043743,0.000000
1908,0.349742,0.014852,0.000000
1909,0.050159,-0.072436,0.000000
1910,0.035938,0.108850,0.000000
1911,0.045985,0.048942,0.000000
1912,-0.001045,-0.061827,0.000000
1913,-0.066430,0.047254,0.000000
1914,-0.064059,0.025813,0.000000
1915,0.274338,0.027941,0.000000
1916,-0.037918,-0.087075,0.000000
1917,-0.319210,-0.150313,0.000000
1918,0.001762,-0.107250,0.000000
1919,0.022728,-0.136447,0.000000
1920,-0.126189,0.058120,0.000000
1921,0.237614,0.254254,0.000000
1922,0.298967,0.045315,0.000000
1923,0.024094,0.037708,0.000000
1924,0.271165,0.057534,0.000000
1925,0.216535,0.018616,0.000000
1926,0.141147,0.089950,0.000000
1927,0.387451,0.046701,0.000000
1928,0.493477,0.023819,0.000000
1929,-0.094270,0.062317,0.000000
1930,-0.168952,0.106977,0.000000
1931,-0.380279,0.119179,0.000000
1932,0.040196,0.184059,0.000000
1933,0.531040,0.025586,0.000000
1934,-0.107107,0.028447,0.000000
1935,0.527107,0.025064,0.000000
1936,0.298932,0.002499,0.000000
1937,-0.325607,0.030041,0.000000
1938,0.189489,0.058004,0.000000
1939,0.037984,0.044282,0.000000
1940,-0.101714,0.030283,0.000000
1941,-0.183369,-0.122797,0.000000
1942,0.129713,-0.048685,0.000000
1943,0.200692,-0.005299,0.000000
1944,0.170023,0.011272,0.000000
1945,0.363003,0.016695,0.000000
1946,-0.255346,-0.139123,0.000000
1947,-0.068927,-0.086839,0.000000
1948,0.081985,0.022911,0.000000
1949,0.201119,0.044244,0.000000
1950,0.245138,-0.072616,0.000000
1951,0.168263,-0.025466,0.000000
1952,0.142581,0.010771,0.000000
1953,0.018770,0.048428,0.000000
1954,0.479252,0.020209,0.000000
